,date,meant
1077,19041028,16.8
1078,19041128,11.7
1079,19041228,16.3
1080,19040129,7.7
1081,19040229,-999
1082,19040329,21
1083,19040429,20.4
1084,19040529,25.9
1085,19040629,27.7
1086,19040729,28.9
1087,19040829,27.4
1088,19040929,27.7
1089,19041029,17.7
1090,19041129,14.6
1091,19041229,15.5
1092,19040130,6.9
1093,19040230,-999
1094,19040330,20.6
1095,19040430,21.8
1096,19040530,27.5
1097,19040630,27.7
1098,19040730,30.2
1099,19040830,28.7
1100,19040930,27.5
1101,19041030,19.1
1102,19041130,16.4
1103,19041230,14.1
1104,19040131,6.5
1105,19040231,-999
1106,19040331,21.8
1107,19040431,-999
1108,19040531,28.3
1109,19040631,-999
1110,19040731,31.2
1111,19040831,28
1112,19040931,-999
1113,19041031,18.3
1114,19041131,-999
1115,19041231,14.9
1116,19050101,16.6
1117,19050201,16.1
1118,19050301,19.5
1119,19050401,17.9
1120,19050501,25.5
1121,19050601,25.3
1122,19050701,25.4
1123,19050801,26.7
1124,19050901,27.4
1125,19051001,25.8
1126,19051101,22.2
1127,19051201,13.6
1128,19050102,16.8
1129,19050202,16.5
1130,19050302,20.1
1131,19050402,18.7
1132,19050502,26.3
1133,19050602,26
1134,19050702,25
1135,19050802,26.1
1136,19050902,27.1
1137,19051002,26.6
1138,19051102,23.1
1139,19051202,14.4
1140,19050103,16.2
1141,19050203,16.7
1142,19050303,19.4
1143,19050403,19.8
1144,19050503,24.1
1145,19050603,26
1146,19050703,26.3
1147,19050803,27.4
1148,19050903,28.2
1149,19051003,25.2
1150,19051103,24
1151,19051203,16.5
1152,19050104,14
1153,19050204,16.2
1154,19050304,21.4
1155,19050404,19.4
1156,19050504,24.5
1157,19050604,27
1158,19050704,27.7
1159,19050804,28
1160,19050904,28.4
1161,19051004,25.4
1162,19051104,26.3
1163,19051204,16.9
1164,19050105,12.7
1165,19050205,17.2
1166,19050305,21.7
1167,19050405,19
1168,19050505,22.9
1169,19050605,26.8
1170,19050705,28.2
1171,19050805,27.9
1172,19050905,28
1173,19051005,25.7
1174,19051105,25.3
1175,19051205,18
1176,19050106,12.9
1177,19050206,17.8
1178,19050306,12.4
1179,19050406,18.4
1180,19050506,21.8
1181,19050606,27.2
1182,19050706,28.6
1183,19050806,28.1
1184,19050906,28.9
1185,19051006,24.6
1186,19051106,22.9
1187,19051206,19.1
1188,19050107,14.1
1189,19050207,17.8
1190,19050307,12
1191,19050407,20.6
1192,19050507,20.2
1193,19050607,25.9
1194,19050707,28.4
1195,19050807,28.5
1196,19050907,28.3
1197,19051007,25
1198,19051107,23.4
1199,19051207,20.3
1200,19050108,14.9
1201,19050208,14.3
1202,19050308,13.7
1203,19050408,22.7
1204,19050508,20.4
1205,19050608,25.4
1206,19050708,28.7
1207,19050808,28
1208,19050908,28.5
1209,19051008,24.7
1210,19051108,22.7
1211,19051208,20.6
1212,19050109,16.6
1213,19050209,15.1
1214,19050309,17.7
1215,19050409,21.5
1216,19050509,21.8
1217,19050609,26.2
1218,19050709,28.4
1219,19050809,26.6
1220,19050909,28.8
1221,19051009,24.5
1222,19051109,23.1
1223,19051209,19.4
1224,19050110,16.2
1225,19050210,15.5
1226,19050310,15.3
1227,19050410,19.4
1228,19050510,23.6
1229,19050610,26.5
1230,19050710,27.7
1231,19050810,26.8
1232,19050910,28.7
1233,19051010,24.7
1234,19051110,23.5
1235,19051210,20.7
1236,19050111,14.8
1237,19050211,16.4
1238,19050311,15.5
1239,19050411,22.5
1240,19050511,25.6
1241,19050611,26.4
1242,19050711,28.1
1243,19050811,26.7
1244,19050911,26.5
1245,19051011,24.8
1246,19051111,25
1247,19051211,21.2
1248,19050112,16.8
1249,19050212,16.7
1250,19050312,17.4
1251,19050412,22.9
1252,19050512,23.6
1253,19050612,27.9
1254,19050712,26.5
1255,19050812,27.5
1256,19050912,26
1257,19051012,25.5
1258,19051112,25.6
1259,19051212,20.9
1260,19050113,17.7
1261,19050213,16.5
1262,19050313,16.9
1263,19050413,22.9
1264,19050513,24.2
1265,19050613,27
1266,19050713,27.2
1267,19050813,26.5
1268,19050913,27.6
1269,19051013,25.4
1270,19051113,26.1
1271,19051213,15.1
1272,19050114,18.8
1273,19050214,17.4
1274,19050314,16.1
1275,19050414,23.2
1276,19050514,23.5
1277,19050614,27.4
1278,19050714,28.5
